review;sentiment
"Kualitas smart locker ini sangat buruk, sering rusak dan tidak bisa digunakan.";Negative
Desain smart locker sangat modern dan menarik.;Positive
Smart locker ini memiliki fitur yang cukup standar.;Neutral
"Keamanan smart locker ini sangat tinggi, saya merasa barang-barang saya aman.";Positive
Smart locker ini sering tidak bisa diakses saat dibutuhkan.;Negative
Lokernya biasa aja;Neutral
"Keamanan smart locker ini sangat rendah, tidak bisa diandalkan.";Negative
"Sangat puas dengan kinerja smart locker, sangat efisien dan aman.";Positive
Sistem RFID-nya biasa aja;Neutral
"Saya sering mengalami masalah dengan smart locker ini, sangat mengecewakan.";Negative
Proses verifikasi wajah bisa sedikit lebih cepat.;Neutral
Smart locker ini sering mengalami gangguan teknis.;Negative
Pengalaman menggunakan smart locker sangat nyaman dan aman.;Positive
Loker sering membutuhkan restart.;Neutral
Barang-barang tetap aman dengan sistem ini;Positive
RFID memerlukan posisi yang tepat.;Neutral
Pengenalan wajahnya sering nggak akurat, nggak praktis.;Negative
Barcode-nya berfungsi dengan baik;Positive
RFID suka nggak respon, kesel banget.;Negative
Sistemnya lambat, bikin bete.;Negative
Barcode-nya tidak buruk dan tidak bagus;Neutral
Pintu loker sering macet, ribet deh.;Negative
Lokernya engga rusak sama sekali;Positive
Sistem ini sangat berguna untuk penyimpanan barang;Positive
RFID-nya memberikan rasa aman;Positive
Pengalaman pakai loker ini biasa aja;Neutral
RFID-nya sering nggak respon, bikin ribet.;Negative
Sistem verifikasinya sering lama, bikin kesel.;Negative
RFID-nya biasa aja;Neutral
Proses verifikasinya lama banget, ribet deh.;Negative
Lokernya tidak jelek dan cukup kuat;Positive
RFID sering memerlukan penyesuaian.;Neutral
Pintu loker nggak mau kebuka, ngeselin.;Negative
Saya merasa smart locker ini lumayan baik.;Neutral
RFID-nya nggak akurat, bikin susah.;Negative
Smart locker ini sangat membantu dalam menjaga keamanan barang-barang saya.;Positive
Sistem barcode-nya biasa aja;Neutral
RFID sering nggak kebaca, susah banget.;Negative
Sistem verifikasinya lambat, males nunggu.;Negative
Lokernya tidak buruk dan tidak bagus;Neutral
Pengenalan wajahnya suka error, nggak nyaman.;Negative
RFID membutuhkan beberapa kali percobaan.;Neutral
Sering banget barcode recognition-nya ngaco;Negative
Smart locker ini sangat inovatif dan membantu dalam kehidupan sehari-hari.;Positive
Pengenalan wajah tidak selalu langsung berhasil.;Neutral
Layanan smart locker sangat memuaskan dan mudah digunakan.;Positive
RFID-nya suka enggak kebaca;Negative
Sistem kadang butuh reset setelah beberapa kali penggunaan.;Neutral
Loker ini kurang bagus;Negative
Proses pengenalan wajah bisa lebih singkat.;Neutral
Loker ini sering macet, bikin repot.;Negative
Terkadang ada jeda sebelum loker membuka.;Neutral
Proses verifikasinya lama banget, bikin kesel.;Negative
Pintu loker nggak mau kebuka, ribet deh.;Negative
"Smart locker ini cukup membantu, meskipun kadang-kadang mengalami kendala teknis.";Neutral
"Kualitas smart locker ini cukup memadai, meski tidak sempurna.";Neutral
Smart locker ini sangat efisien dalam penggunaan waktu.;Positive
"Pengalaman menggunakan smart locker ini sangat mengecewakan, sering bermasalah.";Negative
Barcode-nya ya biasa aja;Neutral
Smart locker ini sering mengalami error dan tidak berfungsi dengan baik.;Negative
Sangat berguna untuk menyimpan barang-barang berharga.;Positive
"Smart locker ini berguna, namun tidak terlalu spesial.";Neutral
Harga yang terlalu mahal untuk kualitas yang sangat buruk.;Negative
Lokernya gak buruk, gak bagus juga;Neutral
Smart locker ini sangat cepat dalam proses penyimpanan dan pengambilan barang.;Positive
"Smart locker ini cukup efisien, meskipun ada beberapa kekurangan.";Neutral
Fitur smart locker sangat lengkap dan canggih.;Positive
"Smart locker ini cukup aman, meski tidak sepenuhnya sempurna.";Neutral
Harga smart locker terlalu mahal untuk kualitas yang diberikan.;Negative
"Smart locker ini cukup praktis, tapi kadang mengalami gangguan.";Neutral
Smart locker ini sangat tidak praktis dan sulit digunakan.;Negative
Smart locker ini tidak layak untuk digunakan.;Negative
Sistem barcode-nya standar;Neutral
Smart locker ini sangat tidak efisien dan memakan waktu.;Negative
Lokernya standar sih;Neutral
Pengalaman pakai barcode gak buruk;Neutral
Smart locker ini sangat memudahkan dalam penyimpanan barang.;Positive
Kualitas smart locker ini sangat mengecewakan.;Negative
"Fitur smart locker cukup baik, namun masih bisa ditingkatkan.";Neutral
"Penggunaan smart locker sangat praktis dan efisien, saya sangat merekomendasikannya.";Positive
Penggunaan RFID-nya lumayan;Neutral
Pintu loker nggak mau kebuka, kesel banget.;Negative
Sistemnya gak ada yang spesial;Neutral
Pengenalan wajahnya suka error, ribet banget.;Negative
RFID sering nggak kebaca, bikin kesel.;Negative
Sistem verifikasinya lambat, ribet.;Negative
RFID-nya berfungsi sesuai harapan;Neutral
Pengenalan wajahnya sering nggak akurat, bikin bete.;Negative
Pengenalan wajahnya suka salah, bikin ribet.;Negative
Locker ini lumayan, nggak buruk.;Neutral
Lokernya jelek, barcodenya engga kebaca;Negative
Sistem wajahnya oke, tapi bisa lebih cepat.;Neutral
Lokernya jelek, ribet penggunaannya;Negative
Software jelek, banyak error;Negative
Verifikasi wajahnya lumayan lah, tapi suka ada delay.;Neutral
Loker ini cukup praktis, meski kadang macet.;Neutral
Hardware jelek, kualitas rendah;Negative
"Smart locker ini biasa saja, tidak terlalu bagus tapi juga tidak buruk.";Neutral
Saya merasa sangat aman menggunakan smart locker ini.;Positive
"Kinerja smart locker cukup baik, tapi masih perlu perbaikan.";Neutral
"Pengalaman menggunakan smart locker ini cukup memuaskan, walau ada sedikit kendala.";Neutral
Saya sangat tidak puas dengan layanan smart locker ini.;Negative
Desain smart locker ini sangat buruk dan tidak menarik.;Negative
Sistem verifikasinya sering lama, bikin bete.;Negative
"Penggunaan smart locker ini terkadang lancar, terkadang tidak.";Neutral
Kualitas smart locker sangat baik dan sesuai dengan harganya.;Positive
"Penggunaan smart locker ini biasa saja, tidak ada yang istimewa.";Neutral
"Smart locker dengan barcode recognition ini berguna, namun tidak terlalu spesial.";Neutral
Kualitas smart locker dengan barcode recognition ini sangat mengecewakan.;Negative
Desain smart locker dengan barcode recognition sangat modern dan menarik.;Positive
"Penggunaan smart locker dengan barcode recognition ini terkadang lancar, terkadang tidak.";Neutral
Smart locker dengan barcode recognition ini sangat tidak efisien dan memakan waktu.;Negative
"Smart locker dengan barcode recognition ini biasa saja, tidak terlalu bagus tapi juga tidak buruk.";Neutral
"Penggunaan smart locker dengan barcode recognition sangat praktis dan efisien, saya sangat merekomendasikannya.";Positive
Smart locker dengan barcode recognition ini memiliki fitur yang cukup standar.;Neutral
"Smart locker dengan barcode recognition ini cukup efisien, meskipun ada beberapa kekurangan.";Neutral
Smart locker dengan barcode recognition ini sangat memudahkan dalam penyimpanan barang.;Positive
Smart locker dengan barcode recognition ini sering mengalami error dan tidak berfungsi dengan baik.;Negative
"Penggunaan smart locker dengan barcode recognition ini biasa saja, tidak ada yang istimewa.";Neutral
Desain smart locker dengan barcode recognition ini sangat buruk dan tidak menarik.;Negative
"Smart locker dengan barcode recognition ini cukup praktis, tapi kadang mengalami gangguan.";Neutral
Layanan smart locker dengan barcode recognition sangat memuaskan dan mudah digunakan.;Positive
Harga smart locker dengan barcode recognition terlalu mahal untuk kualitas yang diberikan.;Negative
Sistem RFID-nya standar;Neutral
"Sangat puas dengan kinerja smart locker dengan barcode recognition, sangat efisien dan aman.";Positive
Lokernya jelek, terlalu mahal;Negative
"Smart locker dengan barcode recognition ini cukup membantu, meskipun kadang-kadang mengalami kendala teknis.";Neutral
"Fitur smart locker dengan barcode recognition cukup baik, namun masih bisa ditingkatkan.";Neutral
Pengalaman menggunakan smart locker dengan barcode recognition sangat nyaman dan aman.;Positive
"Fitur barcode recognition-nya keren, puas banget!";Positive
Lokernya biasa, gak jelek gak bagus;Neutral
Lokernya jelek, engga sesuai ekspektasi;Negative
Lokernya biasa aja, gak ada yang spesial;Neutral
Lokernya jelek, gampang rusak;Negative
"Suka banget sama smart locker ini, aman dan praktis.";Positive
"Smart locker ini sering bermasalah, barcode recognition-nya nggak akurat.";Negative
"Kinerja smart locker dengan barcode recognition cukup baik, tapi masih perlu perbaikan.";Neutral
"barcode recognition-nya jalan lancar, sangat memudahkan.";Positive
"Pengalaman buruk, barcode recognition di smart locker ini sering gagal.";Negative
"Kadang barcode recognition-nya berfungsi baik, kadang nggak.";Neutral
Lokernya tidak jelek, sangat bagus malah;Positive
"Lumayan lah, barcode recognition-nya cukup membantu.";Neutral
Sistem ini sangat berguna dan praktis;Positive
barcode recognition-nya suka lemot;Negative
RFID-nya sering enggak respon;Negative
Pengalaman pakai barcode gak ada masalah;Neutral
Sistem barcode-nya nyaman dan sangat akurat;Positive
Loker ini enggak efisien;Negative
Teknologinya sering enggak jalan;Negative
Sistem RFID-nya gak buruk tapi gak bagus juga;Neutral
"Harga mahal tapi barcode recognition-nya jelek, nggak puas.";Negative
Barcode-nya aman dan sangat akurat;Positive
RFID-nya cukup responsif, tapi kadang ribet;Neutral
Sistemnya cukup simpel, tapi ada beberapa kendala;Neutral
RFID-nya sangat aman dan nyaman;Positive
barcode recognition-nya lumayan cepat, tapi ada beberapa bug;Neutral
Smart locker dengan barcode recognition ini sangat cepat dalam proses penyimpanan dan pengambilan barang.;Positive
Saya merasa penggunaan smart locker ini cukup nyaman.;Neutral
Pengenalan wajahnya suka salah, bikin repot.;Negative
Lokernya berfungsi dengan sangat baik dan cepat;Positive
Sistem verifikasinya sering lama, ribet banget.;Negative
RFID-nya nggak akurat, bikin repot.;Negative
RFID-nya kadang nggak langsung kebaca.;Neutral
Fitur smart locker dengan barcode recognition sangat lengkap dan canggih.;Positive
"Pengalaman menggunakan smart locker dengan barcode recognition ini cukup memuaskan, walau ada sedikit kendala.";Neutral
barcode recognition-nya sering fail;Negative
Smart locker dengan barcode recognition ini sangat inovatif dan membantu dalam kehidupan sehari-hari.;Positive
Saya sangat tidak puas dengan layanan smart locker dengan barcode recognition ini.;Negative
"Sering gagal, barcode recognition di smart locker ini jelek banget.";Negative
Barcode-nya tidak rusak, selalu akurat;Positive
"barcode recognition di smart locker ini nggak bagus, sering gagal.";Negative
barcode recognition-nya cukup akurat, tapi ada kalanya lambat;Neutral
Sistem barcode-nya nyaman dan mudah digunakan;Positive
Lokernya enggak buruk, tapi kadang ngelag;Neutral
"Saya sering mengalami masalah dengan smart locker dengan barcode recognition ini, sangat mengecewakan.";Negative
"Keamanan smart locker dengan barcode recognition ini sangat tinggi, saya merasa barang-barang saya aman.";Positive
"Pengalaman menggunakan smart locker dengan barcode recognition ini sangat mengecewakan, sering bermasalah.";Negative
Saya merasa smart locker dengan barcode recognition ini lumayan baik.;Neutral
Smart locker dengan barcode recognition ini sering mengalami gangguan teknis.;Negative
"Keamanan smart locker dengan barcode recognition ini sangat rendah, tidak bisa diandalkan.";Negative
"Smart locker dengan barcode recognition ini cukup aman, meski tidak sepenuhnya sempurna.";Neutral
Smart locker dengan barcode recognition ini sering tidak bisa diakses saat dibutuhkan.;Negative
Saya merasa sangat aman menggunakan smart locker dengan barcode recognition ini.;Positive
